Theta,Phi,Value
0.942478,0.942478,0
0.942478,1.02102,0
0.942478,1.09956,0
0.942478,1.1781,0
0.942478,1.25664,0
0.942478,1.33518,0
0.942478,1.41372,0
0.942478,1.49226,0
0.942478,1.5708,0
0.942478,1.64934,0
0.942478,1.72788,0
0.942478,1.80642,0
0.942478,1.88496,0
0.942478,1.9635,0
0.942478,2.04204,0
0.942478,2.12058,0
0.942478,2.19911,0
0.942478,2.27765,0
0.942478,2.35619,0
0.942478,2.43473,0
0.942478,2.51327,0
0.942478,2.59181,0
0.942478,2.67035,0
0.942478,2.74889,0
0.942478,2.82743,0
0.942478,2.90597,0
0.942478,2.98451,0
0.942478,3.06305,0
0.942478,3.14159,0
1.09956,0,0.318312
1.09956,0.0785398,0.318312
1.09956,0.15708,0.345566
1.09956,0.235619,0.35467
1.09956,0.314159,0.322251
1.09956,0.392699,0.286713
1.09956,0.471239,0.243176
1.09956,0.549779,0.267861
1.09956,0.628319,0
1.09956,0.706858,0
1.09956,0.785398,0
1.09956,0.863938,0
1.09956,0.942478,0
1.09956,1.02102,0
1.09956,1.09956,0
1.09956,1.1781,0
1.09956,1.25664,0
1.09956,1.33518,0
1.09956,1.41372,0
1.09956,1.49226,0
1.09956,1.5708,0
1.09956,1.64934,0
1.09956,1.72788,0
1.09956,1.80642,0
1.09956,1.88496,0
1.09956,1.9635,0
1.09956,2.04204,0
1.09956,2.12058,0
1.09956,2.19911,0
1.09956,2.27765,0
1.09956,2.35619,0
1.09956,2.43473,0
1.09956,2.51327,0
1.09956,2.59181,0
1.09956,2.67035,0
1.09956,2.74889,0
1.09956,2.82743,0
1.09956,2.90597,0
1.09956,2.98451,0
1.09956,3.06305,0
1.09956,3.14159,0
1.25664,0,0.318312
1.25664,0.0785398,0.309284
1.25664,0.15708,0.309415
1.25664,0.235619,0.287442
1.25664,0.314159,0.277838
1.25664,0.392699,0.223065
1.25664,0.471239,0.188284
1.25664,0.549779,0
1.25664,0.628319,0
1.25664,0.706858,0
1.25664,0.785398,0
1.25664,0.863938,0
1.25664,0.942478,0
1.25664,1.02102,0
1.25664,1.09956,0
1.25664,1.1781,0
1.25664,1.25664,0
1.25664,1.33518,0
1.25664,1.41372,0
1.25664,1.49226,0
1.25664,1.5708,0
1.25664,1.64934,0
1.25664,1.72788,0
1.25664,1.80642,0
1.25664,1.88496,0
1.25664,1.9635,0
1.25664,2.04204,0
1.25664,2.12058,0
1.25664,2.19911,0
1.25664,2.27765,0
1.25664,2.35619,0
1.25664,2.43473,0
1.25664,2.51327,0
1.25664,2.59181,0
1.25664,2.67035,0
1.25664,2.74889,0
1.25664,2.82743,0
1.25664,2.90597,0
1.25664,2.98451,0
1.25664,3.06305,0
1.25664,3.14159,0
1.41372,0,0
1.41372,0.0785398,0.296952
1.41372,0.15708,0.263534
1.41372,0.235619,0.243109
1.41372,0.314159,0.210576
1.41372,0.392699,0.12432
1.41372,0.471239,0.0947385
1.41372,0.549779,0
1.41372,0.628319,0
1.41372,0.706858,0
1.41372,0.785398,0
1.41372,0.863938,0
1.41372,0.942478,0
1.41372,1.02102,0
1.41372,1.09956,0
1.41372,1.1781,0
1.41372,1.25664,0
1.41372,1.33518,0
1.41372,1.41372,0
1.41372,1.49226,0
1.41372,1.5708,0
1.41372,1.64934,0
1.41372,1.72788,0
1.41372,1.80642,0
1.41372,1.88496,0
1.41372,1.9635,0
1.41372,2.04204,0
1.41372,2.12058,0
1.41372,2.19911,0
1.41372,2.27765,0
1.41372,2.35619,0
1.41372,2.43473,0
1.41372,2.51327,0
1.41372,2.59181,0
1.41372,2.67035,0
1.41372,2.74889,0
1.41372,2.82743,0
1.41372,2.90597,0
1.41372,2.98451,0
1.41372,3.06305,0
1.41372,3.14159,0
1.5708,0,0.274554
1.5708,0.0785398,0.267801
1.5708,0.15708,0.233964
1.5708,0.235619,0.198252
1.5708,0.314159,0.130859
1.5708,0.392699,0.0537195
1.5708,0.471239,0.0269615
1.5708,0.549779,0
1.5708,0.628319,0
1.5708,0.706858,0
1.5708,0.785398,0
1.5708,0.863938,0
1.5708,0.942478,0
1.5708,1.02102,0
1.5708,1.09956,0
1.5708,1.1781,0
1.5708,1.25664,0
1.5708,1.33518,0
1.5708,1.41372,0
1.5708,1.49226,0
1.5708,1.5708,0
1.5708,1.64934,0
1.5708,1.72788,0
1.5708,1.80642,0
1.5708,1.88496,0
1.5708,1.9635,0
1.5708,2.04204,0
1.5708,2.12058,0
1.5708,2.19911,0
1.5708,2.27765,0
1.5708,2.35619,0
1.5708,2.43473,0
1.5708,2.51327,0
1.5708,2.59181,0
1.5708,2.67035,0
1.5708,2.74889,0
1.5708,2.82743,0
1.5708,2.90597,0
1.5708,2.98451,0
1.5708,3.06305,0
1.5708,3.14159,0
1.72788,0,0
1.72788,0.0785398,0
1.72788,0.15708,0
1.72788,0.235619,0
1.72788,0.314159,0
1.72788,0.392699,0
1.72788,0.471239,0
1.72788,0.549779,0
1.72788,0.628319,0
1.72788,0.706858,0
1.72788,0.785398,0
1.72788,0.863938,0
1.72788,0.942478,0
1.72788,1.02102,0
1.72788,1.09956,0
1.72788,1.1781,0
1.72788,1.25664,0
1.72788,1.33518,0
1.72788,1.41372,0
1.72788,1.49226,0
1.72788,1.5708,0
1.72788,1.64934,0
1.72788,1.72788,0
1.72788,1.80642,0
1.72788,1.88496,0
1.72788,1.9635,0
1.72788,2.04204,0
1.72788,2.12058,0
1.72788,2.19911,0
1.72788,2.27765,0
1.72788,2.35619,0
1.72788,2.43473,0
1.72788,2.51327,0
1.72788,2.59181,0
1.72788,2.67035,0
1.72788,2.74889,0
1.72788,2.82743,0
1.72788,2.90597,0
1.72788,2.98451,0
1.72788,3.06305,0
1.72788,3.14159,0
1.88496,0,0
1.88496,0.0785398,0
1.88496,0.15708,0
1.88496,0.235619,0
1.88496,0.314159,0
1.88496,0.392699,0
1.88496,0.471239,0
1.88496,0.549779,0
1.88496,0.628319,0
1.88496,0.706858,0
1.88496,0.785398,0
1.88496,0.863938,0
1.88496,0.942478,0
1.88496,1.02102,0
1.88496,1.09956,0
1.88496,1.1781,0
1.88496,1.25664,0
1.88496,1.33518,0
1.88496,1.41372,0
1.88496,1.49226,0
1.88496,1.5708,0
1.88496,1.64934,0
1.88496,1.72788,0
1.88496,1.80642,0
1.88496,1.88496,0
1.88496,1.9635,0
1.88496,2.04204,0
1.88496,2.12058,0
1.88496,2.19911,0
1.88496,2.27765,0
1.88496,2.35619,0
1.88496,2.43473,0
1.88496,2.51327,0
1.88496,2.59181,0
1.88496,2.67035,0
1.88496,2.74889,0
1.88496,2.82743,0
1.88496,2.90597,0
1.88496,2.98451,0
1.88496,3.06305,0
1.88496,3.14159,0
2.04204,0,0
2.04204,0.0785398,0
2.04204,0.15708,0
2.04204,0.235619,0
2.04204,0.314159,0
2.04204,0.392699,0
2.04204,0.471239,0
2.04204,0.549779,0
2.04204,0.628319,0
2.04204,0.706858,0
2.04204,0.785398,0
2.04204,0.863938,0
2.04204,0.942478,0
2.04204,1.02102,0
2.04204,1.09956,0
2.04204,1.1781,0
2.04204,1.25664,0
2.04204,1.33518,0
2.04204,1.41372,0
2.04204,1.49226,0
2.04204,1.5708,0
2.04204,1.64934,0
2.04204,1.72788,0
2.04204,1.80642,0
2.04204,1.88496,0
2.04204,1.9635,0
2.04204,2.04204,0
2.04204,2.12058,0
2.04204,2.19911,0
2.04204,2.27765,0
2.04204,2.35619,0
2.04204,2.43473,0
2.04204,2.51327,0
2.04204,2.59181,0
2.04204,2.67035,0
2.04204,2.74889,0
2.04204,2.82743,0
2.04204,2.90597,0
2.04204,2.98451,0
2.04204,3.06305,0
