Theta,Phi,Value
0.942478,0.0785398,-0.000629274
0.942478,0.15708,-0.000562727
0.942478,0.235619,-0.000408866
0.942478,0.314159,-0.000344398
0.942478,0.392699,-0.000211712
0.942478,0.471239,-0.000136774
0.942478,0.549779,-9.21684e-05
0.942478,0.628319,-4.2899e-05
0.942478,0.706858,0
0.942478,0.785398,0
0.942478,0.863938,0
0.942478,0.942478,0
0.942478,1.02102,0
0.942478,1.09956,0
0.942478,1.1781,0
0.942478,1.25664,0
0.942478,1.33518,0
0.942478,1.41372,0
0.942478,1.49226,0
0.942478,1.5708,0
0.942478,1.64934,0
0.942478,1.72788,0
0.942478,1.80642,0
0.942478,1.88496,0
0.942478,1.9635,0
0.942478,2.04204,0
0.942478,2.12058,0
0.942478,2.19911,0
0.942478,2.27765,0
0.942478,2.35619,0
0.942478,2.43473,0
0.942478,2.51327,0
0.942478,2.59181,0
0.942478,2.67035,0
0.942478,2.74889,0
0.942478,2.82743,0
0.942478,2.90597,0
0.942478,2.98451,0
0.942478,3.06305,0
0.942478,3.14159,0
1.09956,0,-0.00413197
1.09956,0.0785398,-0.00412902
1.09956,0.15708,-0.00355544
1.09956,0.235619,-0.00299278
1.09956,0.314159,-0.00194158
1.09956,0.392699,-0.00145074
1.09956,0.471239,-0.000991813
1.09956,0.549779,-0.000892779
1.09956,0.628319,-0
1.09956,0.706858,-0
1.09956,0.785398,-0
1.09956,0.863938,0
1.09956,0.942478,0
1.09956,1.02102,0
1.09956,1.09956,0
1.09956,1.1781,0
1.09956,1.25664,0
1.09956,1.33518,0
1.09956,1.41372,0
1.09956,1.49226,0
1.09956,1.5708,0
1.09956,1.64934,0
1.09956,1.72788,0
1.09956,1.80642,0
1.09956,1.88496,0
1.09956,1.9635,0
1.09956,2.04204,0
1.09956,2.12058,0
1.09956,2.19911,0
1.09956,2.27765,0
1.09956,2.35619,0
1.09956,2.43473,0
1.09956,2.51327,0
1.09956,2.59181,0
1.09956,2.67035,0
1.09956,2.74889,0
1.09956,2.82743,0
1.09956,2.90597,0
1.09956,2.98451,0
1.09956,3.06305,0
1.09956,3.14159,0
1.25664,0,-0.00675167
1.25664,0.0785398,-0.00636426
1.25664,0.15708,-0.00506807
1.25664,0.235619,-0.00468046
1.25664,0.314159,-0.00381918
1.25664,0.392699,-0.00265857
1.25664,0.471239,-0.00189801
1.25664,0.549779,-0
1.25664,0.628319,-0
1.25664,0.706858,-0
1.25664,0.785398,-0
1.25664,0.863938,0
1.25664,0.942478,0
1.25664,1.02102,0
1.25664,1.09956,0
1.25664,1.1781,0
1.25664,1.25664,0
1.25664,1.33518,0
1.25664,1.41372,0
1.25664,1.49226,0
1.25664,1.5708,0
1.25664,1.64934,0
1.25664,1.72788,0
1.25664,1.80642,0
1.25664,1.88496,0
1.25664,1.9635,0
1.25664,2.04204,0
1.25664,2.12058,0
1.25664,2.19911,0
1.25664,2.27765,0
1.25664,2.35619,0
1.25664,2.43473,0
1.25664,2.51327,0
1.25664,2.59181,0
1.25664,2.67035,0
1.25664,2.74889,0
1.25664,2.82743,0
1.25664,2.90597,0
1.25664,2.98451,0
1.25664,3.06305,0
1.25664,3.14159,0
1.41372,0,-0.00892808
1.41372,0.0785398,-0.00733118
1.41372,0.15708,-0.00634843
1.41372,0.235619,-0.00585904
1.41372,0.314159,-0.00437545
1.41372,0.392699,-0.00306292
1.41372,0.471239,-0.00264207
1.41372,0.549779,-0
1.41372,0.628319,-0
1.41372,0.706858,-0
1.41372,0.785398,-0
1.41372,0.863938,0
1.41372,0.942478,0
1.41372,1.02102,0
1.41372,1.09956,0
1.41372,1.1781,0
1.41372,1.25664,0
1.41372,1.33518,0
1.41372,1.41372,0
1.41372,1.49226,0
1.41372,1.5708,0
1.41372,1.64934,0
1.41372,1.72788,0
1.41372,1.80642,0
1.41372,1.88496,0
1.41372,1.9635,0
1.41372,2.04204,0
1.41372,2.12058,0
1.41372,2.19911,0
1.41372,2.27765,0
1.41372,2.35619,0
1.41372,2.43473,0
1.41372,2.51327,0
1.41372,2.59181,0
1.41372,2.67035,0
1.41372,2.74889,0
1.41372,2.82743,0
1.41372,2.90597,0
1.41372,2.98451,0
1.41372,3.06305,0
1.41372,3.14159,0
1.5708,0,-0.00926439
1.5708,0.0785398,-0.00873064
1.5708,0.15708,-0.00714936
1.5708,0.235619,-0.00612212
1.5708,0.314159,-0.00464332
1.5708,0.392699,-0.00325561
1.5708,0.471239,-0.00281464
1.5708,0.549779,-0
1.5708,0.628319,-0
1.5708,0.706858,-0
1.5708,0.785398,-0
1.5708,0.863938,0
1.5708,0.942478,0
1.5708,1.02102,0
1.5708,1.09956,0
1.5708,1.1781,0
1.5708,1.25664,0
1.5708,1.33518,0
1.5708,1.41372,0
1.5708,1.49226,0
1.5708,1.5708,0
1.5708,1.64934,0
1.5708,1.72788,0
1.5708,1.80642,0
1.5708,1.88496,0
1.5708,1.9635,0
1.5708,2.04204,0
1.5708,2.12058,0
1.5708,2.19911,0
1.5708,2.27765,0
1.5708,2.35619,0
1.5708,2.43473,0
1.5708,2.51327,0
1.5708,2.59181,0
1.5708,2.67035,0
1.5708,2.74889,0
1.5708,2.82743,0
1.5708,2.90597,0
1.5708,2.98451,0
