Theta,Phi,Value
0.942478,0.15708,0.000103518
0.942478,0.235619,0.000115441
0.942478,0.314159,0.000133983
0.942478,0.392699,0.000107535
0.942478,0.471239,8.81123e-05
0.942478,0.549779,7.42108e-05
0.942478,0.628319,4.29677e-05
0.942478,0.706858,0
0.942478,0.785398,0
0.942478,0.863938,0
0.942478,0.942478,0
0.942478,1.02102,0
0.942478,1.09956,0
0.942478,1.1781,0
0.942478,1.25664,0
0.942478,1.33518,0
0.942478,1.41372,0
0.942478,1.49226,0
0.942478,1.5708,0
0.942478,1.64934,0
0.942478,1.72788,0
0.942478,1.80642,0
0.942478,1.88496,0
0.942478,1.9635,0
0.942478,2.04204,0
0.942478,2.12058,0
0.942478,2.19911,0
0.942478,2.27765,0
0.942478,2.35619,0
0.942478,2.43473,0
0.942478,2.51327,0
0.942478,2.59181,0
0.942478,2.67035,0
0.942478,2.74889,0
0.942478,2.82743,0
0.942478,2.90597,0
0.942478,2.98451,0
0.942478,3.06305,0
0.942478,3.14159,0
1.09956,0,0
1.09956,0.0785398,4.79957e-05
1.09956,0.15708,8.28473e-05
1.09956,0.235619,0.000105
1.09956,0.314159,9.12946e-05
1.09956,0.392699,8.58158e-05
1.09956,0.471239,7.09307e-05
1.09956,0.549779,7.5115e-05
1.09956,0.628319,0
1.09956,0.706858,0
1.09956,0.785398,0
1.09956,0.863938,0
1.09956,0.942478,0
1.09956,1.02102,0
1.09956,1.09956,0
1.09956,1.1781,0
1.09956,1.25664,0
1.09956,1.33518,0
1.09956,1.41372,0
1.09956,1.49226,0
1.09956,1.5708,0
1.09956,1.64934,0
1.09956,1.72788,0
1.09956,1.80642,0
1.09956,1.88496,0
1.09956,1.9635,0
1.09956,2.04204,0
1.09956,2.12058,0
1.09956,2.19911,0
1.09956,2.27765,0
1.09956,2.35619,0
1.09956,2.43473,0
1.09956,2.51327,0
1.09956,2.59181,0
1.09956,2.67035,0
1.09956,2.74889,0
1.09956,2.82743,0
1.09956,2.90597,0
1.09956,2.98451,0
1.09956,3.06305,0
1.09956,3.14159,0
1.25664,0,0
1.25664,0.0785398,2.63094e-05
1.25664,0.15708,4.20825e-05
1.25664,0.235619,5.8706e-05
1.25664,0.314159,6.4481e-05
1.25664,0.392699,5.67685e-05
1.25664,0.471239,4.92982e-05
1.25664,0.549779,0
1.25664,0.628319,0
1.25664,0.706858,0
1.25664,0.785398,0
1.25664,0.863938,0
1.25664,0.942478,0
1.25664,1.02102,0
1.25664,1.09956,0
1.25664,1.1781,0
1.25664,1.25664,0
1.25664,1.33518,0
1.25664,1.41372,0
1.25664,1.49226,0
1.25664,1.5708,0
1.25664,1.64934,0
1.25664,1.72788,0
1.25664,1.80642,0
1.25664,1.88496,0
1.25664,1.9635,0
1.25664,2.04204,0
1.25664,2.12058,0
1.25664,2.19911,0
1.25664,2.27765,0
1.25664,2.35619,0
1.25664,2.43473,0
1.25664,2.51327,0
1.25664,2.59181,0
1.25664,2.67035,0
1.25664,2.74889,0
1.25664,2.82743,0
1.25664,2.90597,0
1.25664,2.98451,0
1.25664,3.06305,0
1.25664,3.14159,0
1.41372,0,0
