Theta,Phi,Value
0.942478,0.549779,0.837691
0.942478,0.628319,0.894397
0.942478,0.706858,0.77679
0.942478,0.785398,0.811515
0.942478,0.863938,0.825514
0.942478,0.942478,0.799575
0.942478,1.02102,0.775878
0.942478,1.09956,0.720037
0.942478,1.1781,0.691909
0.942478,1.25664,0
0.942478,1.33518,0
0.942478,1.41372,0
0.942478,1.49226,0
0.942478,1.5708,0
0.942478,1.64934,0
0.942478,1.72788,0
0.942478,1.80642,0
0.942478,1.88496,0
0.942478,1.9635,0
0.942478,2.04204,0
0.942478,2.12058,0
0.942478,2.19911,0
0.942478,2.27765,0
0.942478,2.35619,0
0.942478,2.43473,0
0.942478,2.51327,0
0.942478,2.59181,0
0.942478,2.67035,0
0.942478,2.74889,0
0.942478,2.82743,0
0.942478,2.90597,0
0.942478,2.98451,0
0.942478,3.06305,0
0.942478,3.14159,0
1.09956,0,0.506582
1.09956,0.0785398,0.779431
1.09956,0.15708,0.689146
1.09956,0.235619,0.804015
1.09956,0.314159,0.794101
1.09956,0.392699,0.737308
1.09956,0.471239,0.733312
1.09956,0.549779,0.807629
1.09956,0.628319,0.638941
1.09956,0.706858,0.679278
1.09956,0.785398,0.698243
1.09956,0.863938,0.70035
1.09956,0.942478,0.698023
1.09956,1.02102,0.657705
1.09956,1.09956,0.635972
1.09956,1.1781,0.650531
1.09956,1.25664,0
1.09956,1.33518,0
1.09956,1.41372,0
1.09956,1.49226,0
1.09956,1.5708,0
1.09956,1.64934,0
1.09956,1.72788,0
1.09956,1.80642,0
1.09956,1.88496,0
1.09956,1.9635,0
1.09956,2.04204,0
1.09956,2.12058,0
1.09956,2.19911,0
1.09956,2.27765,0
1.09956,2.35619,0
1.09956,2.43473,0
1.09956,2.51327,0
1.09956,2.59181,0
1.09956,2.67035,0
1.09956,2.74889,0
1.09956,2.82743,0
1.09956,2.90597,0
1.09956,2.98451,0
1.09956,3.06305,0
1.09956,3.14159,0
1.25664,0,0
1.25664,0.0785398,0.732697
1.25664,0.15708,0.766942
1.25664,0.235619,0.635724
1.25664,0.314159,0.744651
1.25664,0.392699,0.687739
1.25664,0.471239,0.735281
1.25664,0.549779,0.709103
1.25664,0.628319,0.589203
1.25664,0.706858,0.58515
1.25664,0.785398,0.599869
1.25664,0.863938,0.608592
1.25664,0.942478,0.590074
1.25664,1.02102,0.549658
1.25664,1.09956,0.541441
1.25664,1.1781,0
1.25664,1.25664,0
1.25664,1.33518,0
1.25664,1.41372,0
1.25664,1.49226,0
1.25664,1.5708,0
1.25664,1.64934,0
1.25664,1.72788,0
1.25664,1.80642,0
1.25664,1.88496,0
1.25664,1.9635,0
1.25664,2.04204,0
1.25664,2.12058,0
1.25664,2.19911,0
1.25664,2.27765,0
1.25664,2.35619,0
1.25664,2.43473,0
1.25664,2.51327,0
1.25664,2.59181,0
1.25664,2.67035,0
1.25664,2.74889,0
1.25664,2.82743,0
1.25664,2.90597,0
1.25664,2.98451,0
1.25664,3.06305,0
1.25664,3.14159,0
1.41372,0,0
1.41372,0.0785398,0.459848
1.41372,0.15708,0.721153
1.41372,0.235619,0.707449
1.41372,0.314159,0.64989
1.41372,0.392699,0.5975
1.41372,0.471239,0.646821
1.41372,0.549779,0.661865
1.41372,0.628319,0.489631
1.41372,0.706858,0.484582
1.41372,0.785398,0.514802
1.41372,0.863938,0.493591
1.41372,0.942478,0.47991
1.41372,1.02102,0.442906
1.41372,1.09956,0.42032
1.41372,1.1781,0
1.41372,1.25664,0
1.41372,1.33518,0
1.41372,1.41372,0
1.41372,1.49226,0
1.41372,1.5708,0
1.41372,1.64934,0
1.41372,1.72788,0
1.41372,1.80642,0
1.41372,1.88496,0
1.41372,1.9635,0
1.41372,2.04204,0
1.41372,2.12058,0
1.41372,2.19911,0
1.41372,2.27765,0
1.41372,2.35619,0
1.41372,2.43473,0
1.41372,2.51327,0
1.41372,2.59181,0
1.41372,2.67035,0
1.41372,2.74889,0
1.41372,2.82743,0
1.41372,2.90597,0
1.41372,2.98451,0
1.41372,3.06305,0
1.41372,3.14159,0
1.5708,0,0
1.5708,0.0785398,0
1.5708,0.15708,0.666503
1.5708,0.235619,0.609024
1.5708,0.314159,0.593761
1.5708,0.392699,0.557079
1.5708,0.471239,0.535777
1.5708,0.549779,0.385263
1.5708,0.628319,0.389518
1.5708,0.706858,0.390755
1.5708,0.785398,0.38493
1.5708,0.863938,0.368584
1.5708,0.942478,0.348285
1.5708,1.02102,0.320505
1.5708,1.09956,0.313817
1.5708,1.1781,0
1.5708,1.25664,0
1.5708,1.33518,0
1.5708,1.41372,0
1.5708,1.49226,0
1.5708,1.5708,0
1.5708,1.64934,0
1.5708,1.72788,0
1.5708,1.80642,0
1.5708,1.88496,0
1.5708,1.9635,0
1.5708,2.04204,0
1.5708,2.12058,0
1.5708,2.19911,0
1.5708,2.27765,0
1.5708,2.35619,0
1.5708,2.43473,0
1.5708,2.51327,0
1.5708,2.59181,0
1.5708,2.67035,0
1.5708,2.74889,0
1.5708,2.82743,0
1.5708,2.90597,0
1.5708,2.98451,0
1.5708,3.06305,0
1.5708,3.14159,0
1.72788,0,0
1.72788,0.0785398,0.679296
1.72788,0.15708,0.666503
1.72788,0.235619,0.651756
1.72788,0.314159,0.587504
1.72788,0.392699,0.499287
1.72788,0.471239,0.478695
1.72788,0.549779,0.483952
1.72788,0.628319,0.340108
1.72788,0.706858,0.344411
1.72788,0.785398,0.342016
1.72788,0.863938,0.330788
1.72788,0.942478,0.315087
1.72788,1.02102,0.292382
1.72788,1.09956,0.286783
1.72788,1.1781,0
1.72788,1.25664,0
1.72788,1.33518,0
1.72788,1.41372,0
1.72788,1.49226,0
1.72788,1.5708,0
1.72788,1.64934,0
1.72788,1.72788,0
1.72788,1.80642,0
1.72788,1.88496,0
1.72788,1.9635,0
1.72788,2.04204,0
1.72788,2.12058,0
1.72788,2.19911,0
1.72788,2.27765,0
1.72788,2.35619,0
1.72788,2.43473,0
1.72788,2.51327,0
1.72788,2.59181,0
1.72788,2.67035,0
1.72788,2.74889,0
1.72788,2.82743,0
1.72788,2.90597,0
1.72788,2.98451,0
1.72788,3.06305,0
1.72788,3.14159,0
1.88496,0,0.50017
1.88496,0.0785398,0.725468
1.88496,0.15708,0.582258
1.88496,0.235619,0.593226
1.88496,0.314159,0.576103
1.88496,0.392699,0.510988
1.88496,0.471239,0.507202
1.88496,0.549779,0.465646
1.88496,0.628319,0
1.88496,0.706858,0
1.88496,0.785398,0
1.88496,0.863938,0
1.88496,0.942478,0
1.88496,1.02102,0
1.88496,1.09956,0
1.88496,1.1781,0
1.88496,1.25664,0
1.88496,1.33518,0
1.88496,1.41372,0
1.88496,1.49226,0
1.88496,1.5708,0
1.88496,1.64934,0
1.88496,1.72788,0
1.88496,1.80642,0
1.88496,1.88496,0
