Theta,Phi,Value
0.942478,0.549779,0.965457
0.942478,0.628319,1.03081
0.942478,0.706858,0.895267
0.942478,0.785398,0.935289
0.942478,0.863938,0.951423
0.942478,0.942478,0.921527
0.942478,1.02102,0.894216
0.942478,1.09956,0.829858
0.942478,1.1781,0.79744
0.942478,1.25664,0
0.942478,1.33518,0
0.942478,1.41372,0
0.942478,1.49226,0
0.942478,1.5708,0
0.942478,1.64934,0
0.942478,1.72788,0
0.942478,1.80642,0
0.942478,1.88496,0
0.942478,1.9635,0
0.942478,2.04204,0
0.942478,2.12058,0
0.942478,2.19911,0
0.942478,2.27765,0
0.942478,2.35619,0
0.942478,2.43473,0
0.942478,2.51327,0
0.942478,2.59181,0
0.942478,2.67035,0
0.942478,2.74889,0
0.942478,2.82743,0
0.942478,2.90597,0
0.942478,2.98451,0
0.942478,3.06305,0
0.942478,3.14159,0
1.09956,0,0.450948
1.09956,0.0785398,0.693833
1.09956,0.15708,0.613463
1.09956,0.235619,0.715717
1.09956,0.314159,0.706892
1.09956,0.392699,0.656336
1.09956,0.471239,0.652779
1.09956,0.549779,0.718934
1.09956,0.628319,0.568772
1.09956,0.706858,0.604679
1.09956,0.785398,0.621561
1.09956,0.863938,0.623436
1.09956,0.942478,0.621365
1.09956,1.02102,0.585475
1.09956,1.09956,0.566128
1.09956,1.1781,0.579089
1.09956,1.25664,0
1.09956,1.33518,0
1.09956,1.41372,0
1.09956,1.49226,0
1.09956,1.5708,0
1.09956,1.64934,0
1.09956,1.72788,0
1.09956,1.80642,0
1.09956,1.88496,0
1.09956,1.9635,0
1.09956,2.04204,0
1.09956,2.12058,0
1.09956,2.19911,0
1.09956,2.27765,0
1.09956,2.35619,0
1.09956,2.43473,0
1.09956,2.51327,0
1.09956,2.59181,0
1.09956,2.67035,0
1.09956,2.74889,0
1.09956,2.82743,0
1.09956,2.90597,0
1.09956,2.98451,0
1.09956,3.06305,0
1.09956,3.14159,0
1.25664,0,0
1.25664,0.0785398,0.443954
1.25664,0.15708,0.464703
1.25664,0.235619,0.385196
1.25664,0.314159,0.451197
1.25664,0.392699,0.416713
1.25664,0.471239,0.445519
1.25664,0.549779,0.429657
1.25664,0.628319,0.357008
1.25664,0.706858,0.354552
1.25664,0.785398,0.363471
1.25664,0.863938,0.368756
1.25664,0.942478,0.357536
1.25664,1.02102,0.333047
1.25664,1.09956,0.328068
1.25664,1.1781,0
1.25664,1.25664,0
1.25664,1.33518,0
1.25664,1.41372,0
1.25664,1.49226,0
1.25664,1.5708,0
1.25664,1.64934,0
1.25664,1.72788,0
1.25664,1.80642,0
1.25664,1.88496,0
1.25664,1.9635,0
1.25664,2.04204,0
1.25664,2.12058,0
1.25664,2.19911,0
1.25664,2.27765,0
1.25664,2.35619,0
1.25664,2.43473,0
1.25664,2.51327,0
1.25664,2.59181,0
1.25664,2.67035,0
1.25664,2.74889,0
1.25664,2.82743,0
1.25664,2.90597,0
1.25664,2.98451,0
1.25664,3.06305,0
1.25664,3.14159,0
1.41372,0,0
1.41372,0.0785398,0.141051
1.41372,0.15708,0.221203
1.41372,0.235619,0.216999
1.41372,0.314159,0.199344
1.41372,0.392699,0.183274
1.41372,0.471239,0.198402
1.41372,0.549779,0.203017
1.41372,0.628319,0.150187
1.41372,0.706858,0.148638
1.41372,0.785398,0.157908
1.41372,0.863938,0.151402
1.41372,0.942478,0.147205
1.41372,1.02102,0.135855
1.41372,1.09956,0.128927
1.41372,1.1781,0
1.41372,1.25664,0
1.41372,1.33518,0
1.41372,1.41372,0
1.41372,1.49226,0
1.41372,1.5708,0
1.41372,1.64934,0
1.41372,1.72788,0
1.41372,1.80642,0
1.41372,1.88496,0
1.41372,1.9635,0
1.41372,2.04204,0
1.41372,2.12058,0
1.41372,2.19911,0
1.41372,2.27765,0
1.41372,2.35619,0
1.41372,2.43473,0
1.41372,2.51327,0
1.41372,2.59181,0
1.41372,2.67035,0
1.41372,2.74889,0
1.41372,2.82743,0
1.41372,2.90597,0
1.41372,2.98451,0
1.41372,3.06305,0
1.41372,3.14159,0
1.5708,0,0
1.5708,0.0785398,0
